year,pct,sex,race,stopped,arrested,frisked,searched,summoned,contrabn,weapnfnd,pf_weapn,pf_hcuff,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,rf_vcrim,rf_othsw,rf_attir,rf_vcact,rf_rfcmp,rf_verbl,rf_knowl,rf_furtv,rf_bulge
2003,6.0,F,B,46.0,8.0,18.0,7.0,0.0,0.0,0.0,3.0,5.0,1.0,19.0,5.0,7.0,5.0,10.0,13.0,3.0,3.0,5.0,8.0,2.0,1.0,3.0,1.0,1.0,6.0,2.0
2003,6.0,F,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,6.0,F,P,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,6.0,F,Q,14.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2003,6.0,F,W,18.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,4.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
2003,6.0,M,A,11.0,2.0,6.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0
2003,6.0,M,B,368.0,37.0,161.0,37.0,4.0,7.0,7.0,25.0,30.0,5.0,168.0,49.0,32.0,11.0,48.0,62.0,14.0,20.0,53.0,39.0,29.0,21.0,31.0,7.0,6.0,52.0,31.0
2003,6.0,M,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,6.0,M,P,16.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,4.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2003,6.0,M,Q,103.0,16.0,33.0,11.0,4.0,3.0,2.0,6.0,14.0,2.0,41.0,14.0,9.0,3.0,10.0,12.0,5.0,7.0,9.0,12.0,5.0,2.0,9.0,0.0,2.0,5.0,6.0
